model_key,model_label,variant,prompt_type,samples,final_layer_mean_diff_norm,replacement_family_score,deprecated_family_score,library_version_family_score,replacement_minus_deprecated_score,model_group_starcoder_scale,model_group_cross_family_same_scale
deepseek_coder_6_7b_instruct,DeepSeek-Coder-6.7B-Instruct,base,random_neutral_text,12,0.0,0.0,0.0,0.0,0.0,False,True
deepseek_coder_6_7b_instruct,DeepSeek-Coder-6.7B-Instruct,base,library_neutral_code,24,0.0,0.0,0.0,0.0,0.0,False,True
deepseek_coder_6_7b_instruct,DeepSeek-Coder-6.7B-Instruct,dpo,random_neutral_text,12,0.8917004664738973,-0.26919495112573105,-0.6113773720959822,-1.7295913596947987,0.34218242097025114,False,True
deepseek_coder_6_7b_instruct,DeepSeek-Coder-6.7B-Instruct,dpo,library_neutral_code,24,7.558640797932942,-10.065224250157675,-10.158493181069693,-8.350160479545593,0.09326893091201782,False,True
deepseek_coder_6_7b_instruct,DeepSeek-Coder-6.7B-Instruct,anchored_dpo,random_neutral_text,12,0.9103826036055883,0.03310460224747658,-0.30179913171256584,-1.4400955090920131,0.3349037339600424,False,True
deepseek_coder_6_7b_instruct,DeepSeek-Coder-6.7B-Instruct,anchored_dpo,library_neutral_code,24,7.722318053245544,-7.689120332400004,-7.753632595141728,-6.132448345422745,0.06451226274172406,False,True
qwen2_5_coder_7b_instruct,Qwen2.5-Coder-7B-Instruct,base,random_neutral_text,12,0.0,0.0,0.0,0.0,0.0,False,True
qwen2_5_coder_7b_instruct,Qwen2.5-Coder-7B-Instruct,base,library_neutral_code,24,0.0,0.0,0.0,0.0,0.0,False,True
qwen2_5_coder_7b_instruct,Qwen2.5-Coder-7B-Instruct,anchored_dpo,random_neutral_text,12,19.534529368082683,-0.5961270288001591,-0.672420349282523,-0.9966305823375782,0.07629332048236392,False,True
qwen2_5_coder_7b_instruct,Qwen2.5-Coder-7B-Instruct,anchored_dpo,library_neutral_code,24,99.24961296717326,-0.8645016516869267,-1.1261866899828117,-0.5500566691625863,0.26168503829588496,False,True
starcoder2_15b,StarCoder2-15B,base,random_neutral_text,12,0.0,0.0,0.0,0.0,0.0,True,False
starcoder2_15b,StarCoder2-15B,base,library_neutral_code,24,0.0,0.0,0.0,0.0,0.0,True,False
starcoder2_15b,StarCoder2-15B,dpo,random_neutral_text,12,20.17347288131714,0.3464607248703639,0.20545921692003807,0.41889477769533795,0.14100150795032582,True,False
starcoder2_15b,StarCoder2-15B,dpo,library_neutral_code,24,68.43488470713298,0.3481109083319704,-0.025655184329176944,0.28461895588164526,0.37376609266114735,True,False
starcoder2_15b,StarCoder2-15B,anchored_dpo,random_neutral_text,12,16.12906591097514,0.35944899544119835,0.21510165681441626,0.4521051247914632,0.1443473386267821,True,False
starcoder2_15b,StarCoder2-15B,anchored_dpo,library_neutral_code,24,76.32655254999797,0.9477864199628433,0.5378939761624982,1.0457418772081535,0.40989244380034506,True,False
starcoder2_3b,StarCoder2-3B,base,random_neutral_text,12,0.0,0.0,0.0,0.0,0.0,True,False
starcoder2_3b,StarCoder2-3B,base,library_neutral_code,24,0.0,0.0,0.0,0.0,0.0,True,False
starcoder2_3b,StarCoder2-3B,dpo,random_neutral_text,12,38.71717977523804,2.5309527019659677,1.5979399681091309,0.5041608922183514,0.9330127338568368,True,False
starcoder2_3b,StarCoder2-3B,dpo,library_neutral_code,24,231.69084072113037,8.248425165812174,7.31387082238992,6.694746782382329,0.9345543434222536,True,False
starcoder2_3b,StarCoder2-3B,anchored_dpo,random_neutral_text,12,41.853095372517906,2.6900495092074075,1.7466894090175629,0.7301858857584497,0.9433601001898446,True,False
starcoder2_3b,StarCoder2-3B,anchored_dpo,library_neutral_code,24,217.28059832255045,8.536054701621955,7.595739396521822,6.460724238306284,0.9403153051001336,True,False
starcoder2_7b,StarCoder2-7B,base,random_neutral_text,12,0.0,0.0,0.0,0.0,0.0,True,True
starcoder2_7b,StarCoder2-7B,base,library_neutral_code,24,0.0,0.0,0.0,0.0,0.0,True,True
starcoder2_7b,StarCoder2-7B,dpo,random_neutral_text,12,27.188521067301433,0.24823895655572414,0.09725460316985846,0.7468738978107771,0.1509843533858657,True,True
starcoder2_7b,StarCoder2-7B,dpo,library_neutral_code,24,69.94829400380452,1.080509333871305,0.8350836802273989,1.2168884004155796,0.24542565364390612,True,True
starcoder2_7b,StarCoder2-7B,anchored_dpo,random_neutral_text,12,25.729681650797527,0.34163787215948105,0.1815648351718361,0.7877150103449821,0.16007303698764494,True,True
starcoder2_7b,StarCoder2-7B,anchored_dpo,library_neutral_code,24,80.21807750066121,1.644752461463213,1.366653895568258,2.021482969323794,0.2780985658949551,True,True
